name,image,parentsName,level
TPCN Chăm sóc tóc,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/6.11.png,thuc-pham-chuc-nang,2
TPCN Nhóm khác,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/6.14_6.14-TPCN_Nh%C3%B3m_kh%C3%A1c_6.14-VMS_Others_TPCN_Nhom_khac.png,thuc-pham-chuc-nang,2
TPCN cho gan,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/6.15_6.15-TPCN_cho_gan_6.15-VMS_For_Liver_TPCN_Cho_Gan.png,thuc-pham-chuc-nang,2
TPCN giải độc gan,,tpcn-cho-gan,3
TPCN dành cho gan khác,,tpcn-cho-gan,3
Hàng tổng hợp,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/5.01_H%C3%A0ng_t%E1%BB%95ng_h%E1%BB%A3p_5.01-General_Merchandise_Hang_tong_hop.png,san-pham-tien-loi,2
Hàng dành cho du lịch,,hang-tong-hop,3
"Khăn giấy, khăn ướt",,hang-tong-hop,3
Hàng theo mùa,,hang-tong-hop,3
Thiết bị điện gia dụng,,hang-tong-hop,3
Hàng bách hóa,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/H%C3%A0ng_b%C3%A1ch_h%C3%B3a.png,san-pham-tien-loi,2
Thức uống,,hang-bach-hoa,3
Bánh quy,,hang-bach-hoa,3
Bánh snack,,hang-bach-hoa,3
"Kẹo, gum",,hang-bach-hoa,3
Kem,,hang-bach-hoa,3
Sản phẩm sữa và từ sữa,,hang-bach-hoa,3
Thực phẩm khác,,hang-bach-hoa,3
Sản phẩm phòng tắm,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/3.02_S%E1%BA%A3n_ph%E1%BA%A9m_ph%C3%B2ng_t%E1%BA%AFm_3.02-Bath_Care_San_pham_phong_tam.png,cham-soc-ca-nhan,2
Sữa tắm,,san-pham-phong-tam,3
Xà bông cục,,san-pham-phong-tam,3
Phụ kiện phòng tắm,,san-pham-phong-tam,3
Nước rửa tay,,san-pham-phong-tam,3
Sản phẩm khử mùi,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/3.04_S%E1%BA%A3n_ph%E1%BA%A9m_kh%E1%BB%AD_m%C3%B9i_3.04-Deodorant_San_pham_khu_mui.png,cham-soc-ca-nhan,2
Lăn khử mùi,,san-pham-khu-mui,3
Xịt khử mùi,,san-pham-khu-mui,3
Sáp khử mùi,,san-pham-khu-mui,3
Chăm sóc tóc,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/3.05_Ch%C4%83m_s%C3%B3c_t%C3%B3c_3.05-Hair_Care_Cham_soc_toc.png,cham-soc-ca-nhan,2
Dầu gội đầu,,cham-soc-toc,3
Dầu xả,,cham-soc-toc,3
Dưỡng tóc,,cham-soc-toc,3
Tạo kiểu tóc,,cham-soc-toc,3
Nhuộm tóc,,cham-soc-toc,3
Vệ sinh phụ nữ,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/3.06_V%E1%BB%87_sinh_ph%E1%BB%A5_n%E1%BB%AF_3.06-Feminine_Hygiene_Ve_sinh_phu_nu.png,cham-soc-ca-nhan,2
Dung dịch vệ sinh phụ nữ,,ve-sinh-phu-nu,3
BVS hàng ngày,,ve-sinh-phu-nu,3
Băng vệ sinh,,ve-sinh-phu-nu,3
BVS dạng ống,,ve-sinh-phu-nu,3
Sản phẩm vệ sinh khác,,ve-sinh-phu-nu,3
Chăm sóc nam giới,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/3.07_Ch%C4%83m_s%C3%B3c_nam_gi%E1%BB%9Bi_3.07-Men_Care_Cham_soc_nam_gioi.png,cham-soc-ca-nhan,2
Dao cạo râu & Bọt cạo râu,,cham-soc-nam-gioi,3
Chăm sóc tóc cho nam,,cham-soc-nam-gioi,3
Chăm sóc da mặt cho nam,,cham-soc-nam-gioi,3
Sản phẩm tắm & dưỡng thể cho nam,,cham-soc-nam-gioi,3
Khử mùi cho nam,,cham-soc-nam-gioi,3
Chăm sóc răng miệng,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/3.08_Ch%C4%83m_s%C3%B3c_r%C4%83ng_mi%E1%BB%87ng_3.08-Oral_Care_Cham_soc_rang_mieng.png,cham-soc-ca-nhan,2
Kem đánh răng,,cham-soc-rang-mieng,3
Bàn chải đánh răng,,cham-soc-rang-mieng,3
Nước súc miệng,,cham-soc-rang-mieng,3
Tăm chỉ nha khoa,,cham-soc-rang-mieng,3
Sản phẩm chăm sóc răng miệng khác,,cham-soc-rang-mieng,3
Bột đánh răng,,cham-soc-rang-mieng,3
Chăm sóc cơ thể,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/3.03_Ch%C4%83m_s%C3%B3c_c%C6%A1_th%E1%BB%83_3.03-Body_Care_Cham_soc_co_the.png,cham-soc-ca-nhan,2
Dưỡng thể,,cham-soc-co-the,3
Dầu dưỡng thể & massage,,cham-soc-co-the,3
Tẩy tế bào chết toàn thân,,cham-soc-co-the,3
Kem chống nắng toàn thân,,cham-soc-co-the,3
Dưỡng da tay & tẩy tế bào chết,,cham-soc-co-the,3
Mặt nạ tay,,cham-soc-co-the,3
Dưỡng da chân & tẩy tế bào chết,,cham-soc-co-the,3
Mặt nạ chân,,cham-soc-co-the,3
Đặc trị cơ thể,,cham-soc-co-the,3
Chăm sóc mặt,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/4.01_Ch%C4%83m_s%C3%B3c_m%E1%BA%B7t_4.01-Face_Care_Cham_soc_mat.png,cham-soc-sac-dep,2
Nước tẩy trang,,cham-soc-mat,3
Mặt nạ dưỡng da,,cham-soc-mat,3
Sữa rửa mặt,,cham-soc-mat,3
Tẩy tế bào chết cho mặt,,cham-soc-mat,3
Dưỡng môi,,cham-soc-mat,3
Kem dưỡng ẩm và dưỡng da,,cham-soc-mat,3
Nước hoa hồng & Xịt khoáng,,cham-soc-mat,3
Kem trị mụn,,cham-soc-mat,3
Sản phẩm chống nắng,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/4.02_S%E1%BA%A3n_ph%E1%BA%A9m_ch%E1%BB%91ng_n%E1%BA%AFng_4.02-Sun_Care_San_pham_chong_nang.png,cham-soc-sac-dep,2
Kem chống nắng dành cho mặt,,san-pham-chong-nang,3
Kem chống nắng toàn thân,,san-pham-chong-nang,3
Kem chống nắng cho mặt và cơ thể,,san-pham-chong-nang,3
Dưỡng da sau khi đi nắng,,san-pham-chong-nang,3
Dụng cụ làm đẹp,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/4.03_D%E1%BB%A5ng_c%E1%BB%A5_l%C3%A0m_%C4%91%E1%BA%B9p_4.03-Beauty_Accessories_Dung_cu_lam_dep.png,cham-soc-sac-dep,2
Cotton,,dung-cu-lam-dep,3
Phụ kiện trang điểm,,dung-cu-lam-dep,3
Phụ kiện tóc,,dung-cu-lam-dep,3
Phụ kiện làm móng,,dung-cu-lam-dep,3
Dược mỹ phẩm,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-core/category-icons/2_01_D%C6%B0%E1%BB%A3c_m%E1%BB%B9_ph%E1%BA%A9m_2_01_Dermo_Skincare_Duoc_my_pham2.png,cham-soc-sac-dep,2
Tinh chất & Serum,,duoc-my-pham,3
Kem dưỡng ẩm,,duoc-my-pham,3
Nước cân bằng & xịt khoáng,,duoc-my-pham,3
Nước tẩy trang & sữa rửa mặt,,duoc-my-pham,3
Mặt nạ dưỡng da,,duoc-my-pham,3
Sản phẩm chống nắng & sau khi đi nắng,,duoc-my-pham,3
Sản phẩm trị sẹo,,duoc-my-pham,3
Tẩy tế bào chết chuyên sâu,,duoc-my-pham,3
Sản phẩm khử mùi chuyên sâu,,duoc-my-pham,3
Dưỡng thể chuyên sâu,,duoc-my-pham,3
Sữa tắm chuyên sâu,,duoc-my-pham,3
Son dưỡng môi,,duoc-my-pham,3
Dầu gội & dầu xả chuyên sâu,,duoc-my-pham,3
Sản phẩm chống lão hóa,,duoc-my-pham,3
Sản phẩm trị mụn,,duoc-my-pham,3
Dược mỹ phẩm cho da vùng mắt,,duoc-my-pham,3
